COMID,Stream DOC
22879555,1.13094532
22879557,0.781818182
22879559,1.409055729
22879561,1.320212427
22879563,1.2906411
22879565,1.485233598
22879567,1.572812073
22879569,1.470911139
22879571,1.434441313
22879573,1.493751716
22879577,2.580527877
22879579,2.802061501
22879581,2.705431967
22879583,2.576318301
22879585,2.471261489
22879587,1.472395648
22879589,1.373892498
22879591,3.41002893
22879593,2.899929876
22879595,2.903429777
22879597,2.06094472
22879599,1.583997548
22879601,1.566203475
22879603,1.045196242
22879605,1.079899268
22879607,1.012900277
22879609,0.976355682
22879611,0.781818182
22879613,1.437524879
22879615,1.486028501
22879617,1.28106551
22879619,1.160815785
22879621,1.003259008
22879623,1.220630864
22879625,1.358001087
22879627,1.402154784
22879629,1.974287969
22879631,2.021129456
22879633,2.007955288
22879635,2.00268562
22879637,1.649012128
22879639,2.006198732
22879641,2.029619475
22879643,1.959942764
22879645,1.490040776
22879647,2.901619974
22879649,0.88825382
22879651,1.0987245
22879653,0.781818182
22879655,1.21142665
22879657,1.285284934
22879665,1.234344817
22879667,2.120082097
22879669,1.333142348
22879671,1.57307883
22879677,1.380201435
22879679,1.506839512
22879681,2.067970943
22879683,1.367340702
22879685,0.781818182
22879689,0.781818182
22879691,0.781818182
22879693,1.832101183
22879697,0.781818182
22879699,1.600940259
22879701,1.455947286
22879705,1.591634336
22879707,1.440227611
22879709,1.694189402
22879711,1.795270768
22879713,1.747896328
22879717,1.729680765
22879719,1.633746245
22879721,1.471090143
22879723,0.781818182
22879725,1.37484579
22879727,1.988340415
22879729,2.980854901
22879731,1.310330065
22879733,0.781818182
22879735,1.537763855
22879737,1.335181675
22879739,1.74864263
22879741,1.715394171
22879743,2.088464093
22879745,1.707274493
22879747,1.235413264
22879749,1.13946575
22879751,1.787748659
22879753,1.539428111
22879755,1.502674708
22879757,1.638578825
22879759,1.428472791
22879761,1.751667769
22879763,1.212411504
22879765,1.504956662
22879767,1.278935423
22879769,1.216681701
22879771,1.578793738
22879773,2.56312839
22879775,1.666078959
22879777,1.418208835
22879779,1.44237392
22879781,1.33552171
22879783,2.120082097
22879785,2.844974739
22879787,1.654677037
22879789,1.783683175
22879791,1.577974276
22879793,1.694431334
22879795,1.040207964
22879797,1.536987802
22879799,1.150027748
22879801,1.767051442
22879803,1.249672577
22879805,1.644554017
22879807,1.276120186
22879809,1.577564932
22879811,1.487650415
22879813,1.508716942
22879815,1.248162406
22879817,1.595499669
22879819,1.47347842
22879821,1.679092937
22879823,1.22062707
22879825,2.15579873
22879827,1.150428703
22879829,1.298083213
22879833,1.55851647
22879835,1.342498782
22879837,1.619552939
22879839,2.441989484
22879841,1.321614108
22879843,1.340645507
22879845,1.261562886
22879847,1.528915105
22879849,2.490504001
22879851,1.293993081
22879853,1.569834873
